YEAR,1310NAS0034,0703DER0139A,0705DUC0222,0705COM0333,0906BUT0054,0403SIL0115,0703CAZ0153,0706OWA0212,0703TUS0153A,0801SEC0782B,0906BLA0001,0906BON0024,0201CUB0115,0202CHA0122,0202FIN0153,1302WAC0117,1401ANA0251,1404OQU0383,1402WOL0037,1104BRA0347,1104GOO0672A,1104GAR0520,1104SAC0314,0602LEB0153,0602EAR0146,0602MOR0152,0402CON0067,0601CAN0392,0602EAT0163,0602MEL0039,0602PET0078,0602CRO0073,0602BRA0154,0602HAT0155,1701LFR0662,1302CAR0062A,1501LUC0982B,0303NOR1041,0302SOD0096,1310COP0108,1308ROB0902,1104SCH0374,1102BAB1109,1204MAD1051,1005GLE0441,1310QUE0057
2005,583.363787,716.4697876,704.7022705,810.461731,575.1858368,607.338126,697.4302216,820.3977057,695.8791809,601.9567232,577.8995331,566.7132568,608.3873735,710.0417768,668.1004944,639.4395549,563.6824951,610.065834,649.8763885,535.6306404,516.4480972,584.7136841,660.7314819,616.3469238,602.7332561,570.5516724,557.422253,568.601722,677.4241638,710.9441154,633.6346436,792.0973218,625.4038507,626.485336,561.4852918,609.343689,647.7224121,780.2285662,674.3003667,545.3164513,574.6328161,523.3692588,594.4762054,578.3724487,545.9738159,540.5552718
2006,611.6635655,827.2012634,781.4764404,879.1188965,515.2928505,774.1469116,789.8450165,873.6610133,852.6112671,595.3621332,523.5936269,542.6021729,849.1457686,961.787197,887.2243042,741.8797811,650.8761597,738.8545147,756.5941306,547.0647583,526.0288289,616.5685018,640.7626282,767.0945435,723.8472911,687.6546997,681.3596132,685.0489443,833.4610291,849.8553156,756.9127197,882.5871724,778.1582888,779.4488602,720.936077,727.7118835,701.8696115,843.2455251,802.6358312,579.8337106,600.453344,544.5195669,642.023285,699.8915319,626.7248027,575.3022609
2007,749.9801897,872.5437622,770.4333801,902.6982422,584.0188217,674.0151978,852.4470062,872.3682498,972.896698,658.5922154,578.6618222,598.1755219,735.7454335,837.504373,877.5159302,734.436849,740.5705566,793.7294787,760.4972223,600.942627,591.9391734,649.8920085,654.6998108,841.5380859,785.3366093,807.6023804,608.6058822,757.1386325,964.1150208,820.8626535,748.7382202,886.338238,895.3637984,896.7593159,726.3236587,764.4371948,729.608381,926.8980192,726.6632563,680.2074418,702.1154283,605.3545595,741.151838,813.6503732,664.0198263,701.6216894
2008,672.7932565,657.1129761,677.9291382,746.72229,578.1987381,660.6098807,651.3882141,730.8886849,699.7030334,593.5728091,573.5738565,588.0945663,741.6010409,818.8350658,847.7389526,722.6651611,654.1894531,660.7362472,675.8780737,602.4447237,601.2258708,624.2818604,624.9244873,629.6503296,584.1128425,609.0306763,582.0426675,554.383537,685.654541,652.6066619,605.5683594,709.9774952,651.9027708,652.9880496,682.8653231,729.0124207,740.7253069,738.6212932,653.434728,653.8632894,675.5439058,587.4415427,627.9106668,607.8297753,626.6374715,663.9496299
2009,440.5343802,541.8492126,537.7556458,641.5056458,389.7190704,490.7663967,520.5476227,640.3953306,560.4684448,475.7130897,406.1521526,434.3489265,562.731584,689.8391523,686.684906,523.8984375,557.012146,521.0369279,595.6345529,420.0599706,398.1774877,455.8011068,491.9695435,504.8300018,477.8033162,464.2376892,414.8584831,458.5095599,553.0464478,575.2835287,526.3494873,590.0408967,522.6321965,523.5885823,589.5665777,524.3470154,537.844247,555.3676497,554.7692744,443.5037619,453.4538915,420.9111419,400.723767,470.7491974,418.0407206,444.5884359
2010,350.0776847,490.8752899,491.4205627,574.0143738,377.6214638,487.6016453,480.6432343,577.3069896,510.5289764,336.2001168,369.3838524,368.3000603,507.3338873,625.5732142,621.4767456,460.9332581,435.921814,403.9176899,465.3754632,371.2845495,327.9208908,395.777537,379.6866547,450.1182098,400.0062127,418.6446289,457.1139477,411.0273359,505.5865326,449.4998393,407.7816772,530.1309661,479.5178671,480.6422955,415.8200747,448.8539734,428.1513541,450.926574,464.4032733,355.9234594,370.1771204,369.0650411,358.1622049,427.6588554,369.5839081,358.5797204
2011,478.6989223,639.9664307,608.3414001,718.085083,441.244545,609.0313721,627.2188568,705.595983,633.7472534,562.9329514,439.2873561,459.387085,697.447371,917.6488813,892.3953857,674.9014689,672.7564697,694.3582068,724.1566686,499.3352607,513.0468877,549.2278035,599.8340759,624.7715454,619.3900596,581.658374,543.4406719,546.7181889,628.2919617,678.0534158,708.9102173,693.4831018,631.1980819,632.9191642,512.0421082,720.9560852,653.472665,567.4872064,586.9852269,501.0844843,514.1109978,498.0191143,474.2928629,584.274889,462.8144582,504.9798102
2012,357.7568447,467.6929474,493.2028351,515.459895,375.1101379,517.3531914,457.2476501,511.7331038,503.5016937,482.9399618,377.7671715,392.8259626,606.3823242,726.6605079,803.2235921,440.3220978,533.6129733,484.2372493,531.6392418,382.8734719,361.4848022,429.5408783,443.1145966,470.2774458,448.1331963,447.6637726,486.1996786,413.883291,492.6911926,495.1652048,480.2000334,489.7522619,488.2027483,490.761312,355.4533081,438.2966461,456.7570679,530.1471613,503.3337274,357.7759405,370.3860953,386.6811068,355.2305796,451.4772439,381.5024109,372.7472165
2013,420.174905,610.3755493,592.217041,659.8381042,444.6891365,508.3618251,604.0628418,637.9481772,628.3080444,521.6716338,458.4364698,478.5789413,529.1608887,690.528316,772.1180725,420.6279093,499.7539978,500.4370375,460.6941428,390.4287038,361.2479833,455.7256673,515.9219025,575.2522583,564.6525989,557.8258423,455.5021254,540.1057719,618.9031372,582.7899366,547.0178223,612.9808735,589.5015065,591.5479256,346.8771253,401.6323853,451.778329,711.0942179,548.2339503,384.8410986,400.891304,395.0107799,472.4979734,560.8883079,402.7179362,434.7641781
2014,363.5524597,535.0014343,500.1951599,571.525116,449.8045006,435.1442086,521.2411621,555.7906855,509.9580841,481.0154739,426.1876628,435.888092,534.4052512,889.9022174,995.3085938,424.4340413,444.5438538,441.2899385,399.6106244,372.3684244,318.4091975,409.8571167,448.8638306,488.525238,456.0386319,480.4187012,467.0875057,439.8329915,514.5616913,515.2816388,447.4080505,556.632316,512.2709728,513.3445296,383.0626853,436.657959,443.0060948,536.9580814,459.9714228,375.5165086,380.823122,374.1909416,345.2261235,477.1284801,384.5244649,390.1125245
2015,349.4654628,452.6109619,506.8490143,525.8468018,341.7571793,393.9646301,475.9316406,544.0912728,460.7290955,381.9097159,346.6682145,369.8088493,442.9363625,567.2946892,596.3726196,360.9834493,390.3757935,406.4581525,434.3011661,315.2735255,259.4589335,336.5165609,373.3022888,425.8686371,396.7723086,422.8326111,406.0626487,346.7495697,465.2497559,468.8687354,431.0808105,482.8385229,451.5704621,452.6031229,347.9626119,352.878891,315.2336862,558.2794088,473.1024984,316.0720049,326.3828983,324.2659624,333.6780584,419.0704233,321.8961131,356.5694376
2016,325.5001613,437.3811951,436.668457,446.5550079,364.5522308,313.6318883,448.9030762,431.1000954,443.1397552,410.419438,371.5887108,401.7608299,432.236195,625.4072065,631.0875244,345.6460978,367.3420715,371.6274072,318.5515408,277.7391016,299.2509562,357.8043111,390.9778595,405.0119324,396.6272084,404.3077576,330.7903659,383.7578023,438.3622894,406.3945091,354.7932739,424.9311313,429.6769903,430.1957901,331.9472293,347.4472656,363.1620353,536.5224774,393.8067818,338.8750396,321.3708725,288.3406546,326.8211287,397.6124363,331.6027934,328.2105263
2017,317.2554496,474.3905487,518.6242676,527.2862549,443.2897568,489.7866821,461.1768433,510.0665267,459.7924805,453.5830064,448.3256457,466.2877197,501.8322033,617.789889,663.8739624,346.4213969,398.5483093,380.5268536,392.2944344,339.8645756,321.8121516,388.1811727,454.1346069,444.6299896,425.3238556,417.0716553,433.7219238,419.6988363,463.8602753,454.0018114,403.4887695,508.8035526,468.44182,469.1322245,401.5628429,353.8581696,342.1692941,585.1169966,473.8031782,305.6769059,306.3539715,336.7189743,344.5663727,417.9146566,350.0623322,300.4497482
2018,314.7863566,425.4745387,453.9718492,435.5819184,318.1791484,435.1357625,417.3448486,403.7282085,440.0048345,325.4107513,308.3397774,305.699585,426.4144592,618.4902461,712.899106,478.2188363,448.6430054,445.9483468,443.0259026,277.9279404,213.6579857,310.440918,420.7539673,433.2358585,419.9635455,395.4823569,397.3975703,353.7973727,439.2880738,412.3454067,424.7075806,416.8459021,440.0905817,439.8690371,337.6321411,459.6159291,401.1499262,522.9104254,432.5072545,362.5004282,366.4050773,272.2269326,310.6019432,394.9140615,302.5307906,357.3671265
